budget,actual_cost,revenue,profit,profit_margin,schedule_delay,project_duration,team_size,labor_cost,resource_utilization,margin_risk
75524.8,85406.55,87019.29,1612.74,0.019,1,7,13,28465.29,0.7,1
530140.54,513692.14,557507.86,43815.72,0.079,0,6,6,137023.86,0.78,0
222379.52,224328.71,254379.4,30050.69,0.118,0,7,15,55472.87,0.69,0
877841.73,936401.75,1082296.04,145894.29,0.135,0,6,20,287918.86,0.55,1
79636.59,80189.95,95519.71,15329.75,0.16,0,8,4,22219.08,0.78,0
1384475.32,1567890.55,1581889.53,13998.98,0.009,1,14,15,538418.72,0.84,0
1047554.01,1065539.82,1231587.67,166047.85,0.135,2,10,22,289858.08,0.83,0
750529.93,785905.35,882884.5,96979.15,0.11,0,14,17,238630.14,0.91,0
63249.98,66508.62,71566.75,5058.12,0.071,0,9,17,17284.71,0.9,0
1349472.89,1359754.77,1606592.27,246837.5,0.154,2,13,23,493331.87,0.8,0
109734.79,112658.54,120168.13,7509.59,0.062,0,10,10,40299.86,0.75,0
103174.19,123901.35,111385.79,-12515.56,-0.112,0,7,11,34466.97,0.77,0
124093.91,130337.69,146172.36,15834.67,0.108,0,4,10,34485.19,0.73,0
73252.88,81551.15,92557.91,11006.76,0.119,1,8,18,22740.16,0.66,1
100262.7,112282.91,111919.42,-363.49,-0.003,1,11,17,25000.25,0.59,1
138943.7,154933.53,185121.6,30188.07,0.163,1,5,8,54343.8,0.63,1
62398.34,61189.58,71084.1,9894.52,0.139,1,10,18,22244.72,0.78,0
1569676.11,1882452.85,1762322.72,-120130.13,-0.068,1,11,21,610505.44,0.8,0
150799.09,169685.6,169894.65,209.05,0.001,0,8,19,52760.24,0.73,1
87367.59,91826.84,102912.75,11085.9,0.108,0,8,13,28677.95,0.9,0
121679.2,134969.89,140321.56,5351.67,0.038,0,6,11,50568.46,0.67,0
728459.82,713374.44,861827.45,148453.01,0.172,1,10,16,227139.25,0.77,0
456148.79,456918.61,553880.23,96961.62,0.175,4,10,21,159747.03,0.8,1
770334.85,761224.85,884282.96,123058.1,0.139,1,12,14,237901.66,0.73,0
103418.73,105819.55,117502.08,11682.53,0.099,0,3,12,32122.47,0.68,0
632468.79,561625.07,682972.72,121347.65,0.178,0,11,25,195012.96,0.77,0
89127.24,91317.29,98427.39,7110.1,0.072,0,5,20,23746.05,0.93,0
737679.29,684898.64,953317.95,268419.32,0.282,0,12,26,189686.53,0.7,0
405758.63,383841.4,513883.73,130042.32,0.253,0,2,13,122267.31,0.71,0
1069241.35,1139730.85,1269794.35,130063.5,0.102,1,12,12,255575.31,0.69,0
95394.65,100706.02,111374.47,10668.45,0.096,0,8,23,28376.58,0.78,0
100279.96,108158.08,121828.01,13669.92,0.112,1,9,9,34678.82,0.68,1
142069.48,135300.49,165786.44,30485.94,0.184,0,2,9,46573.96,0.8,0
764816.53,844782.87,874349.21,29566.34,0.034,0,9,22,238458.78,0.72,1
2073695.29,2103262.29,2524614.5,421352.22,0.167,1,10,27,573320.54,0.87,0
694251.83,783122.71,875779.83,92657.12,0.106,1,7,15,216256.52,0.74,0
102667.86,114967.82,116722.41,1754.6,0.015,0,8,13,26789.32,0.61,1
567982.93,595518.0,668577.4,73059.4,0.109,0,8,19,132095.77,0.65,0
170845.53,180602.49,203894.84,23292.35,0.114,0,8,16,50564.96,0.82,0
601888.86,701857.48,775813.84,73956.36,0.095,1,10,15,205452.33,0.85,1
115562.72,128589.01,131100.37,2511.35,0.019,0,2,17,32160.03,0.54,1
1545118.14,1739855.41,1960136.12,220280.71,0.112,3,19,21,573381.51,0.69,1
1477916.67,1422069.64,1602555.79,180486.15,0.113,2,14,17,399519.85,0.74,0
1320187.49,1338663.2,1600238.22,261575.01,0.163,0,12,18,391006.2,0.81,0
475816.04,577541.66,620295.14,42753.48,0.069,0,9,12,198426.53,0.87,1
863301.13,839824.62,1093509.29,253684.67,0.232,0,14,19,203085.92,0.82,0
1560040.33,1804585.46,1876797.04,72211.58,0.038,1,12,8,576626.18,0.58,1
118692.21,128107.81,137986.63,9878.82,0.072,1,8,6,31911.76,0.66,1
532997.48,535810.62,611231.4,75420.79,0.123,0,6,12,125482.78,0.74,0
420318.32,437557.15,510590.19,73033.04,0.143,0,8,10,152704.03,0.73,0
214965.67,188015.34,293370.71,105355.37,0.359,0,5,11,63849.13,0.81,0
767936.24,759866.72,876013.74,116147.02,0.133,0,10,7,169610.91,0.61,0
128728.91,141896.68,163664.32,21767.63,0.133,0,9,17,42533.64,0.76,0
141556.4,159122.73,168118.32,8995.59,0.054,0,2,8,44073.09,0.94,0
101675.6,103396.35,121627.14,18230.79,0.15,0,5,9,27463.65,0.75,0
117990.48,128618.28,150694.69,22076.41,0.146,2,8,9,47421.58,0.65,1
515316.45,428085.54,627818.04,199732.5,0.318,0,9,9,110782.36,0.78,0
350771.99,344165.88,429911.44,85745.56,0.199,0,7,10,79206.33,0.71,0
491499.14,475471.19,582522.51,107051.32,0.184,0,3,26,175317.95,0.79,0
1453296.83,1469270.74,1805133.1,335862.35,0.186,1,12,20,361855.71,0.71,0
109191.87,126016.61,128967.07,2950.46,0.023,0,5,17,35323.86,0.56,0
2002931.19,2140831.33,2431831.27,290999.94,0.12,1,9,26,511024.33,0.83,0
140375.12,148315.36,172636.16,24320.8,0.141,0,9,18,51343.15,0.7,0
471587.43,534310.06,543892.03,9581.97,0.018,1,9,16,127006.08,0.7,0
158554.01,179275.16,170172.34,-9102.82,-0.053,0,10,17,55008.06,0.67,0
1948813.29,2427559.08,2368619.79,-58939.29,-0.025,2,12,23,541097.16,0.76,1
637536.59,765647.18,754424.78,-11222.4,-0.015,0,5,9,258659.41,0.65,1
163767.66,158696.05,199417.98,40721.93,0.204,0,5,12,48558.34,0.58,0
374585.25,388848.35,436820.31,47971.96,0.11,0,4,12,96520.68,0.5,0
704430.95,884672.85,859727.57,-24945.28,-0.029,0,6,14,204122.54,0.76,1
222797.07,186537.27,258319.56,71782.29,0.278,0,11,7,54193.19,0.87,0
1388567.74,1334627.34,1574135.89,239508.55,0.152,1,10,11,299039.03,0.93,0
91821.2,95454.78,107024.99,11570.21,0.108,0,6,8,23726.92,0.63,0
1387553.76,1336928.77,1784229.31,447300.55,0.251,0,16,17,356831.15,0.81,0
1127549.63,1025789.9,1189659.84,163869.94,0.138,3,15,13,269670.09,0.62,0
2008936.91,2103335.3,2532792.63,429457.33,0.17,1,17,19,763780.69,0.86,0
206209.58,209622.05,236649.09,27027.04,0.114,0,5,16,74120.02,0.75,0
1266508.58,1371198.46,1534522.37,163323.91,0.106,0,9,19,444579.92,0.58,0
184821.34,201607.5,211160.39,9552.89,0.045,0,3,20,73850.02,0.57,0
603913.66,604565.02,680594.59,76029.56,0.112,1,6,15,160929.77,0.61,0
912197.2,970872.41,1216510.81,245638.4,0.202,1,10,15,246980.68,0.69,0
585591.02,585498.86,709710.37,124211.51,0.175,1,14,14,151892.65,0.93,0
50000.0,51595.02,60679.37,9084.35,0.15,0,2,17,15824.41,0.79,0
1824234.22,1978143.87,2167246.55,189102.68,0.087,1,10,20,492344.29,0.77,0
666995.96,696054.8,790901.96,94847.16,0.12,0,12,14,247188.48,0.84,0
101508.99,116782.08,108027.79,-8754.29,-0.081,0,5,13,26913.25,0.66,1
154710.6,169692.82,177756.71,8063.89,0.045,0,2,14,37994.92,0.76,0
811402.12,954505.68,918274.15,-36231.53,-0.039,1,14,13,246457.51,0.7,1
50000.0,55230.49,58851.61,3621.12,0.062,0,3,6,20545.4,0.85,0
146992.78,157742.87,168169.23,10426.35,0.062,0,8,13,40525.28,0.95,0
525604.64,502538.16,602798.42,100260.26,0.166,0,7,13,171525.4,0.67,0
694939.77,695618.66,865211.54,169592.88,0.196,2,14,23,251952.87,0.71,0
50058.12,48753.87,59019.26,10265.39,0.174,0,8,5,14593.99,0.7,0
778258.99,859627.0,932613.63,72986.64,0.078,1,13,13,225845.09,0.93,0
1621685.28,1814010.14,1897327.85,83317.71,0.044,2,15,23,596487.39,0.89,0
622007.05,654537.76,678383.54,23845.78,0.035,1,7,16,144667.08,0.88,1
712995.64,760830.83,837258.14,76427.31,0.091,3,14,8,180405.85,0.77,1
1583706.46,1798917.18,1960471.65,161554.46,0.082,0,14,17,415147.09,0.65,1
134684.09,119489.14,147225.76,27736.62,0.188,1,6,10,41016.46,0.69,0
270179.11,288957.65,300218.29,11260.64,0.038,0,9,8,93830.85,0.69,1
415911.03,429833.5,488724.96,58891.46,0.121,2,10,22,110378.12,0.62,1
164691.83,180433.31,197530.52,17097.21,0.087,0,8,14,61665.58,0.79,0
1874760.53,1961034.53,2207700.23,246665.7,0.112,2,12,23,470706.58,0.68,0
385383.73,390896.77,438840.47,47943.7,0.109,0,5,18,86724.08,0.56,0
753528.23,820072.14,889000.43,68928.3,0.078,0,10,10,185614.32,0.65,0
426245.3,454663.34,500766.48,46103.15,0.092,0,8,13,106417.88,0.55,0
127816.41,140580.77,151280.67,10699.9,0.071,1,9,7,35429.73,0.89,0
1305918.97,1480865.38,1615433.16,134567.78,0.083,1,14,23,344772.67,0.7,1
660201.54,704015.13,766348.19,62333.07,0.081,0,8,26,161681.53,0.68,1
136966.64,143548.11,167811.46,24263.35,0.145,0,4,15,44336.01,0.95,0
1161651.83,1239398.4,1398574.66,159176.26,0.114,0,10,20,278746.15,0.72,0
697079.39,744450.22,897036.44,152586.22,0.17,0,5,9,216023.42,0.85,0
1010114.32,1075107.06,1154021.5,78914.44,0.068,2,13,14,272761.06,0.9,0
1618741.06,1696368.88,2013299.63,316930.75,0.157,1,12,17,440304.37,0.87,0
73777.28,76953.57,84986.84,8033.28,0.095,1,7,13,20108.07,0.62,1
651975.58,736537.69,714878.33,-21659.36,-0.03,0,5,15,212816.68,0.7,1
153883.16,160475.24,179190.4,18715.16,0.104,1,10,18,55990.97,0.85,0
112146.01,124326.32,132394.81,8068.49,0.061,0,6,16,33640.83,0.74,0
1541802.78,1752828.26,1921843.24,169014.98,0.088,1,13,21,530222.42,0.95,0
444014.11,459441.56,577309.12,117867.55,0.204,1,13,11,151992.53,0.77,0
1365323.75,1482657.32,1744891.8,262234.48,0.15,0,13,19,486670.61,0.81,0
428048.19,460455.11,514228.43,53773.32,0.105,1,9,13,143073.81,0.79,0
161876.81,178199.13,189333.65,11134.52,0.059,0,8,15,51623.1,0.73,0
120623.16,117087.53,137985.85,20898.32,0.151,0,4,20,30209.41,0.53,0
763449.73,759907.79,837218.56,77310.77,0.092,0,3,23,272148.35,0.5,0
353190.19,387654.61,425073.25,37418.64,0.088,0,9,20,144550.12,0.84,0
112444.13,109517.45,133897.76,24380.31,0.182,0,6,15,28593.28,0.65,0
808800.34,785669.47,981125.15,195455.69,0.199,0,12,11,195619.05,0.73,0
624071.43,651523.38,740983.63,89460.25,0.121,0,13,10,200692.82,0.76,0
1662989.41,1559537.46,2037299.32,477761.86,0.235,0,12,16,552665.47,0.92,0
720435.24,708724.19,798778.32,90054.13,0.113,4,15,12,166752.63,0.67,1
